Time,Value
0,0
2.26757e-05,0.01425
4.53515e-05,0.0285029
6.80272e-05,0.0427559
9.07029e-05,0.0570059
0.000113379,0.0712502
0.000136054,0.0854857
0.00015873,0.0997096
0.000181406,0.113919
0.000204082,0.128111
0.000226757,0.142282
0.000249433,0.15643
0.000272109,0.170552
0.000294785,0.184644
0.00031746,0.198705
0.000340136,0.21273
0.000362812,0.226717
0.000385487,0.240663
0.000408163,0.254566
0.000430839,0.268421
0.000453515,0.282227
0.00047619,0.29598
0.000498866,0.309678
0.000521542,0.323317
0.000544218,0.336895
0.000566893,0.350408
0.000589569,0.363855
0.000612245,0.377231
0.00063492,0.390534
0.000657596,0.403762
0.000680272,0.416911
0.000702948,0.429979
0.000725623,0.442962
0.000748299,0.455859
0.000770975,0.468665
0.000793651,0.481379
0.000816326,0.493997
0.000839002,0.506518
0.000861678,0.518937
0.000884353,0.531253
0.000907029,0.543462
0.000929705,0.555562
0.000952381,0.56755
0.000975056,0.579424
0.000997732,0.591181
0.00102041,0.602819
0.00104308,0.614334
0.00106576,0.625724
0.00108844,0.636987
0.00111111,0.64812
0.00113379,0.65912
0.00115646,0.669986
0.00117914,0.680714
0.00120181,0.691302
0.00122449,0.701748
0.00124717,0.712049
0.00126984,0.722204
0.00129252,0.732209
0.00131519,0.742062
0.00133787,0.751761
0.00136054,0.761304
0.00138322,0.770689
0.0014059,0.779913
0.00142857,0.788974
0.00145125,0.797871
0.00147392,0.8066
0.0014966,0.81516
0.00151927,0.82355
0.00154195,0.831766
0.00156463,0.839806
0.0015873,0.84767
0.00160998,0.855355
0.00163265,0.862859
0.00165533,0.87018
0.001678,0.877317
0.00170068,0.884268
0.00172336,0.891031
0.00174603,0.897604
0.00176871,0.903986
0.00179138,0.910175
0.00181406,0.916169
0.00183673,0.921968
0.00185941,0.927569
0.00188209,0.932971
0.00190476,0.938173
0.00192744,0.943173
0.00195011,0.94797
0.00197279,0.952563
0.00199546,0.95695
0.00201814,0.96113
0.00204082,0.965102
0.00206349,0.968866
0.00208617,0.972419
0.00210884,0.975761
0.00213152,0.978891
0.0021542,0.981808
0.00217687,0.984511
0.00219955,0.987
0.00222222,0.989272
0.0022449,0.991329
0.00226757,0.993168
0.00229025,0.994789
0.00231293,0.996193
0.0023356,0.997377
0.00235828,0.998342
0.00238095,0.999087
0.00240363,0.999611
0.00242631,0.999915
0.00244898,0.999998
0.00247166,0.99986
0.00249433,0.9995
0.00251701,0.998918
0.00253968,0.998115
0.00256236,0.99709
0.00258504,0.995843
0.00260771,0.994373
0.00263039,0.992682
0.00265306,0.99077
0.00267574,0.988635
0.00269842,0.986279
0.00272109,0.983703
0.00274377,0.980905
0.00276644,0.977887
0.00278912,0.974649
0.00281179,0.971192
0.00283447,0.967515
0.00285715,0.96362
0.00287982,0.959508
0.0029025,0.955178
0.00292517,0.950632
0.00294785,0.94587
0.00297053,0.940893
0.0029932,0.935703
0.00301588,0.930299
0.00303855,0.924683
0.00306123,0.918857
0.0030839,0.91282
0.00310658,0.906575
0.00312926,0.900122
0.00315193,0.893462
0.00317461,0.886598
0.00319728,0.879529
0.00321996,0.872259
0.00324264,0.864787
0.00326531,0.857115
0.00328799,0.849246
0.00331066,0.84118
0.00333334,0.832919
0.00335601,0.824465
0.00337869,0.81582
0.00340137,0.806985
0.00342404,0.797962
0.00344672,0.788752
0.00346939,0.779359
0.00349207,0.769783
0.00351475,0.760028
0.00353742,0.750094
0.0035601,0.739984
0.00358277,0.7297
0.00360545,0.719244
0.00362812,0.708618
0.0036508,0.697825
0.00367348,0.686867
0.00369615,0.675747
0.00371883,0.664466
0.0037415,0.653027
0.00376418,0.641433
0.00378686,0.629686
0.00380953,0.617788
0.00383221,0.605743
0.00385488,0.593553
0.00387756,0.58122
0.00390024,0.568747
0.00392291,0.556138
0.00394559,0.543394
0.00396826,0.530518
0.00399094,0.517515
0.00401361,0.504385
0.00403629,0.491133
0.00405897,0.477761
0.00408164,0.464272
